Architecture,Application Type,Development Type,Development Platform,Language Type,Relative Size,Used Methodology,Agile Method Used,Resource Level,Package Customisation,Industry Sector,Effort,Project Elapsed Time,Project Inactive Time,Duration
,Financial transaction process/accounting ,Enhancement,MF,3GL,M1,Don't Know,,1,No,Insurance,1848,3,0,3
Stand alone,Management Information System ,Enhancement,,4GL,M1,Yes,,1,,Communication,1912,4,,4
Client server,Device or interface driver ,New Development,PC,3GL,,Yes,,1,,Communication,8465,12.7,,12.7
Multi-tier / Client server,Financial application area ,Enhancement,Multi,4GL,XS,Yes,,1,,,146,0.8,,0.8
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,S,Yes,,1,,Financial,562,7.8,0,7.8
Stand alone,Products management ,Enhancement,MF,3GL,S,Yes,,3,,Manufacturing,957,3,,3
,Computer Integrated Manufactuaring system ,New Development,MR,3GL,M2,Don't Know,,1,No,Manufacturing,625,1.3,0,1.3
,not recorded ,Enhancement,,,M1,,,1,,Medical & Health Care,27362,28,,28
Multi-tier / Client server,Financial application area ,New Development,Multi,4GL,M2,Yes,,1,,,5444,7.1,,7.1
Stand alone,Transaction/Production System ,Enhancement,MF,2GL,M1,Yes,,1,No,,3284,12.8,0,12.8
Multi-tier,Customisation (Add-ons) to a Product Data Management System ,Enhancement,Multi,3GL,M2,,,1,,Construction,535,11,0,11
Stand alone,Factory's process management ,Enhancement,,3GL,S,Yes,,3,No,Manufacturing,875,3.2,,3.2
Multi-tier / Client server,Financial transaction process/accounting ,Enhancement,Multi,3GL,M1,Don't Know,,1,No,Insurance,6700,4,0,4
,Financial transaction process/accounting ,Enhancement,Multi,3GL,S,Yes,,1,,,290,3.6,,3.6
,Embedded Systems ,New Development,,3GL,,,,4,,Communication,4469,9.1,,9.1
Client server,Capacity management ,Enhancement,MR,3GL,M1,Yes,,3,No,Manufacturing,790,5.1,,5.1
,,Enhancement,MF,3GL,S,Yes,,1,,Insurance,559,5,0.1,5
Stand alone,Parts selling ,Enhancement,MF,3GL,M1,Yes,,,No,Manufacturing,1827,5,,5
,,Enhancement,MR,4GL,S,Yes,,1,,Communication,1750,12.1,0.1,12.1
,,Enhancement,MF,3GL,M2,Yes,,1,,Insurance,7554,21,18,21
Client server,Transaction/Production System ,Re-development,MR,4GL,M2,Yes,,3,No,Utilities,5727,13,0,13
,relatively complex application ,Enhancement,MF,4GL,S,Yes,,1,,Communication,869,,,
,Financial transaction process/accounting ,Enhancement,MF,4GL,M1,Yes,,1,,Financial,1920,,,
,Protocols ,New Development,MR,3GL,,,,4,,Communication,2976,3,,3
Multi-tier / Client server,Trading ,New Development,Multi,3GL,M1,Don't Know,,1,No,Service Industry,1952,6.4,0,6.4
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,XXS,Yes,,1,,Financial,30,0.8,0.3,0.8
,Management of Licences and Permits ,Enhancement,MF,ApG,M1,Yes,,1,,Government,4915,17,,17
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,XS,Yes,,1,,Financial,22,3.7,0,3.7
,,New Development,PC,3GL,M2,Yes,,1,,Manufacturing,4683,29,21,29
,Sales promotion tool ,New Development,MF,3GL,M2,Yes,,1,No,Communication,1540,6,0,6
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,S,Yes,,1,,Financial,1213,4.6,0,4.6
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,857,11,,11
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,1942,11,,11
Client server,Customer management ,Enhancement,,4GL,M1,Yes,,3,Yes,Manufacturing,2479,11,,11
,Financial transaction process/accounting ,Enhancement,,,M1,Yes,,1,,Financial,1122,,,
Stand alone,Transaction/Production System ,Enhancement,MR,,S,Yes,,1,Yes,Government,408,1,,1
,,Enhancement,MF,3GL,S,Yes,,1,,Insurance,825,15,12,15
Multi-tier / Client server,Stock control & order processing ,New Development,Multi,3GL,S,Don't Know,,1,No,Manufacturing,835,4,0,4
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,5748,9,,9
Multi-tier,Customer relationship management ,Enhancement,Multi,3GL,S,,,1,,Communication,98,4.4,,4.4
Client server,,Enhancement,,,M2,,,1,,,2756,4,0,4
,Financial transaction process/accounting ,New Development,MR,,L,Don't Know,,1,No,Service Industry,7634,10.9,0,10.9
,,New Development,,4GL,M2,Yes,,1,,,2312,,,
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,1013,10,,10
Multi-tier / Client server,Financial transaction process/accounting ,Enhancement,Multi,3GL,M2,Don't Know,,1,No,Insurance,6381,3.4,0,3.4
Multi-tier,Online. eSales ,Enhancement,Multi,,S,,,1,,Communication,104,4.3,,4.3
,,Enhancement,MF,3GL,M1,Yes,,1,,Insurance,1211,5,,5
,,Enhancement,Multi,3GL,M2,Yes,,1,,Banking,999,10,1,10
Client server,After sales Parts documentation ,New Development,PC,3GL,M1,Yes,,,No,Manufacturing,3758,30.2,,30.2
,,New Development,,,L,Don't Know,,1,Don't Know,,7980,15,0,15
Client server,Capacity management ,Enhancement,,3GL,M2,Yes,,3,No,Manufacturing,13062,16.5,,16.5
,,Enhancement,,,M1,,,1,,,843,2.1,0,2.1
,,New Development,Multi,3GL,M1,Yes,,1,,Insurance,714,13.5,5.5,13.5
Stand alone,,Enhancement,MF,3GL,S,Yes,,1,,Insurance,2770,5.3,0.33,5.3
,,New Development,PC,3GL,,,,4,,Electronics & Computers,2960,,,
,Management Information System Linguistic Software ,New Development,PC,,M1,,,4,,Electronics & Computers,300,1.5,0.13,1.5
Stand alone,,Enhancement,MF,3GL,XS,Yes,,1,,Insurance,171,5.1,0.13,5.1
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,1111,3,,3
,,Enhancement,MR,4GL,S,Yes,,1,,Communication,5180,12.1,0.13,12.1
,Financial transaction process/accounting ,New Development,MF,3GL,M1,Don't Know,,1,No,Banking,6129,3,0,3
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,XS,Yes,,1,,Financial,26,2.3,0,2.3
Multi-tier,Customer relationship management ,Enhancement,Multi,3GL,M2,,,1,,Communication,417,4.6,,4.6
Stand alone,Financial transaction process/accounting ,Enhancement,MF,3GL,XS,Yes,,1,,Government,324,13.1,,13.1
,Sales contact management ,Enhancement,MF,3GL,M1,Don't Know,,1,No,Banking,4326,5.6,0,5.6
Multi-tier / Client server,Tools or system ,New Development,Multi,4GL,M1,Don't Know,,1,No,Manufacturing,833,2.6,0,2.6
,Financial transaction process/accounting ,Enhancement,MF,3GL,S,Yes,,1,,Financial,983,,,
,,Enhancement,MF,3GL,M1,Yes,,1,,Insurance,441,3,1,3
Multi-tier,,Enhancement,Multi,3GL,M1,Yes,,1,,Insurance,1477,5.1,0.07,5.1
Client server,Transaction/Production System ,Enhancement,,3GL,L,Yes,,1,,Communication,48118,7,,7
Client server,,Enhancement,Multi,3GL,M1,,,1,,Logistics,1183,1.5,,1.5
,relatively complex application ,Enhancement,MF,3GL,S,Yes,,1,,Communication,781,,,
Stand alone,Surveillance and security ,Enhancement,PC,3GL,XXS,,Yes,1,,Banking,6,12,,12
,,Enhancement,Multi,4GL,M1,Yes,,1,,Government,623,6,,6
Stand alone,Spare parts management ,Enhancement,MF,3GL,S,Yes,,3,No,Manufacturing,1112,5.6,,5.6
Client server,relatively complex application ,Enhancement,Multi,3GL,XS,Yes,,1,,Communication,515,,,
,Complex process control ,Enhancement,PC,4GL,M1,Yes,,1,No,Service Industry,352,6,0,6
,Web-based Application ,Enhancement,PC,3GL,,,,4,,Banking,7836,,,
Client server,Contract management After Sales ,Enhancement,,4GL,M1,Yes,,3,Yes,Manufacturing,2040,14.3,,14.3
,relatively complex application ,Enhancement,MF,3GL,S,Yes,,1,,Communication,1293,,,
Multi-tier,Customer relationship management ,Enhancement,Multi,3GL,S,,,1,,Communication,48,5.6,,5.6
,Financial transaction process/accounting Data Warehouse ,Enhancement,,4GL,XXS,Yes,,1,,Financial,127,6.7,0,6.7
,,Enhancement,,,S,Don't Know,,1,Don't Know,,823,2,0,2
Stand alone,Management Information System ,Enhancement,,3GL,M1,No,,1,,Communication,3740,4,,4
,Production management system ,New Development,PC,4GL,M2,Don't Know,,1,No,Manufacturing,4750,7.4,0,7.4
Stand alone,Transaction/Production System ,Enhancement,MF,3GL,M1,Yes,,2,No,Insurance,3200,14,,14
Stand alone,Office Information System ,New Development,MR,4GL,,No,,2,No,Manufacturing,375,8,,8
,,Enhancement,,3GL,M1,,,1,,,963,3.7,0,3.7
,,New Development,MF,3GL,M1,Yes,,1,,Insurance,614,5,0,5
,Trading ,New Development,PC,3GL,L,Yes,,1,No,Professional Services,12564,7.1,0,7.1
Multi-tier with web public interface,Financial application area ,Enhancement,Multi,3GL,M1,Yes,,1,,,1136,7.2,,7.2
Multi-tier / Client server,"Job, case, incident, project management ",New Development,Multi,4GL,M1,Don't Know,,1,No,Financial,1327,2.5,0,2.5
,,Enhancement,MR,3GL,S,,,1,,,1334,8.3,,8.3
,,Enhancement,,3GL,XXS,Don't Know,,1,Don't Know,,2947,7,0,7
Client server,Parts catalogue management ,Enhancement,,3GL,M1,Yes,,3,No,Manufacturing,1642,4.7,,4.7
Stand alone,Executive Information System ,Enhancement,MF,,M1,No,,1,Yes,Professional Services,924,,,
,Financial transaction process/accounting ,Enhancement,Multi,3GL,XXS,Yes,,1,,,13,0.6,,0.6
,Financial transaction process/accounting ,New Development,Multi,4GL,M1,Yes,,1,,,965,3.7,,3.7
Stand alone,,Enhancement,MF,3GL,M2,Yes,,4,,Manufacturing,27091,12,0,12
,,Enhancement,Multi,3GL,S,Yes,,1,,Insurance,418,3,0.53,3
Stand alone,Surveillance and security ,Enhancement,PC,3GL,XS,,Yes,1,,Banking,49,12,,12
,,Enhancement,,,M1,Don't Know,,1,Don't Know,,1120,5,0,5
,Financial transaction process/accounting ,Enhancement,Multi,3GL,S,Yes,,1,,,428,2.3,,2.3
Stand alone,Management Information System ,New Development,MF,4GL,L,Yes,,2,No,Defence,17757,16,,16
,Financial transaction process/accounting ,New Development,MR,3GL,M1,Don't Know,,1,No,Communication,5950,4.5,0,4.5
Stand alone,,New Development,MF,3GL,L,Yes,,2,No,Financial,5281,,,
,Interface ,New Development,PC,4GL,S,,,1,,Electronics & Computers,2247,10.7,,10.7
Client server,,Enhancement,,4GL,S,,,1,,,865,5.3,0,5.3
Client server,Transaction/Production System ,New Development,PC,3GL,M1,No,,2,No,Banking,1609,5,1,5
Stand alone,Telecom & network management ,Enhancement,MF,3GL,XL,No,,1,Yes,Communication,8671,,,
Stand alone,Parts selling ,Enhancement,MF,3GL,L,Yes,,3,,Manufacturing,35420,25,,25
,Financial transaction process/accounting Data Warehouse ,Enhancement,,4GL,S,Yes,,1,,Financial,1827,7.6,0,7.6
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,19667,22,,22
Client server,Financial transaction process/accounting Geographic or spatial information system Online analysis and reporting Stock control & order processing Workflow support & management ,New Development,PC,3GL,XXL,Yes,,4,,Construction,70035,25,0,25
Stand alone,Transaction/Production System ,Enhancement,MF,3GL,M2,Yes,,1,No,,20960,17.2,0,17.2
,System Software ,New Development,PC,3GL,,,,4,,Manufacturing,3138,5.7,,5.7
Client server,Factory's process management ,Enhancement,Multi,3GL,S,Yes,,3,No,Manufacturing,855,3.7,,3.7
Multi-tier,,New Development,MF,4GL,L,No,,4,No,,22837,12,,12
,,New Development,,,M1,Don't Know,,1,Don't Know,,1115,8,0,8
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,355,8,,8
,,Enhancement,,3GL,M2,,,1,,,8374,,,
,Financial transaction process/accounting Data Warehouse ,Enhancement,,4GL,S,Yes,,1,,Financial,557,4.7,0,4.7
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,4412,9,,9
,,Enhancement,,3GL,S,,,1,,,944,,,
Stand alone,,New Development,MF,4GL,,,,2,No,Financial,4332,7,,7
Stand alone,Financial transaction process/accounting ,Enhancement,MF,3GL,XS,Yes,,1,,Government,358,21.5,,21.5
Client server,Management Information System ,Enhancement,MR,3GL,M1,Yes,,1,,Communication,2458,4,,4
Multi-tier,Customisation (Add-ons) to a Product Data Management System ,Enhancement,Multi,3GL,M1,,,1,,Construction,685,11,0,11
,relatively complex application ,Enhancement,MF,3GL,M1,Yes,,1,,Communication,1487,,,
,Financial transaction process/accounting ,Enhancement,Multi,3GL,S,Yes,,1,,,722,5.5,,5.5
,Financial transaction process/accounting ,Enhancement,Multi,3GL,S,Yes,,1,,,354,3,,3
,Financial transaction process/accounting ,Enhancement,Multi,4GL,M1,Yes,,1,,,760,4.5,,4.5
,,Enhancement,,,XS,Don't Know,,1,Don't Know,,184,1,0,1
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,XXS,Yes,,1,,Financial,24,2.9,0,2.9
,Transaction/Production System ,Enhancement,,4GL,S,Yes,,1,,Communication,4430,8,,8
Client server,Business Network Management ,Enhancement,MF,ApG,M2,Yes,,1,,Communication,3992,2,,2
Stand alone,Electronic Data Interchange ,New Development,MF,3GL,M2,Yes,,1,No,,28923,14.6,0,14.6
,Document management ,Enhancement,PC,3GL,S,Don't Know,,1,No,Service Industry,1136,5,0,5
,,Enhancement,,3GL,M2,Don't Know,,1,Don't Know,,907,3,0,3
Multi-tier / Client server,Financial transaction process/accounting ,New Development,Multi,4GL,M2,Don't Know,,1,No,Financial,3410,4,0,4
Multi-tier / Client server,Financial application area ,Enhancement,Multi,4GL,M1,Yes,,1,,,818,2.5,,2.5
,Management Information System ,Enhancement,PC,3GL,L,Yes,,1,No,Financial,57156,12,0,12
Multi-tier,Transaction/Production System ,Enhancement,MF,3GL,M1,Yes,,1,No,,2807,9.8,0,9.8
,,New Development,,3GL,M1,Don't Know,,1,Don't Know,,600,2,0,2
,Financial transaction process/accounting ,Enhancement,MF,3GL,M1,Yes,,1,No,Insurance,2258,3,0,3
Stand alone,Management Information System ,New Development,PC,4GL,M1,Yes,,4,No,Banking,1177,7,3,7
Client server,Business Stock control & order processing ,Enhancement,MF,ApG,M2,Yes,,1,,Communication,5613,3,,3
Client server,After sales parts contract management ,Enhancement,MR,3GL,XS,Yes,,3,Yes,Manufacturing,424,3.7,,3.7
,Cost analysis ,New Development,MF,3GL,M2,Don't Know,,1,No,Manufacturing,876,3,0,3
Multi-tier / Client server,Sales contact management ,New Development,Multi,3GL,M1,Don't Know,,1,No,Insurance,2049,2.2,0,2.2
Stand alone,Management of Licences and Permits ,Enhancement,MF,ApG,M1,Yes,,1,,Government,8851,11.4,,11.4
,,New Development,Multi,3GL,L,Yes,,1,,Government,13363,39,1,39
Stand alone,,Enhancement,MF,3GL,L,Yes,,2,No,Insurance,581,10,,10
Client server,,Enhancement,,4GL,S,,,1,,,668,2.9,0,2.9
Client server,Financial transaction process/accounting ,New Development,Multi,3GL,L,Yes,,1,,Government,60826,20,0,20
Stand alone,Office Automation System ,Enhancement,MF,3GL,S,Yes,,1,No,,2489,8.2,0,8.2
Client server,Quality of factory ,Enhancement,Multi,4GL,M2,Yes,,3,Yes,Manufacturing,1496,12,,12
Client server,,Enhancement,MF,3GL,XS,,,1,,Electronics & Computers,2910,8,,8
,Billing ,Enhancement,,3GL,M2,Yes,,1,,Wholesale & Retail,7688,,,
,Financial transaction process/accounting ,New Development,MF,3GL,M1,Don't Know,,1,No,Insurance,7556,3,0,3
,,Enhancement,,3GL,M1,Yes,,1,,Communication,687,2,,2
Multi-tier,Data Warehouse system ,Enhancement,Multi,3GL,S,,,1,,Communication,66,6,,6
Client server,Telecom & network management ,Enhancement,PC,3GL,S,Yes,,1,,Communication,1875,12,0,12
,Sales promotion tool ,New Development,PC,4GL,M2,Don't Know,,1,No,Insurance,4998,5,0,5
,,New Development,MR,4GL,M1,Yes,,1,,Banking,351,3,0,3
,,Enhancement,PC,3GL,M1,Yes,,1,,Communication,905,2,,2
Multi-tier,Online. eSales ,Enhancement,Multi,,M2,,,1,,Communication,1160,4.9,,4.9
Stand alone,Management Information System ,New Development,MF,3GL,M1,Yes,,2,No,Manufacturing,4530,8,0,8
Stand alone,Transaction/Production System ,Enhancement,MF,3GL,S,,,1,No,Communication,1491,2,,2
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,S,Yes,,1,,Financial,383,4.8,0,4.8
,,New Development,Multi,4GL,M2,Yes,,1,,Government,548,11,,11
,Financial transaction process/accounting ,Enhancement,MF,3GL,M1,Don't Know,,1,No,Banking,731,6,0,6
Client server,Quality Management ,Enhancement,PC,3GL,M1,Yes,,,No,Manufacturing,2953,10.4,,10.4
Client server,,New Development,Multi,3GL,M1,,,1,,Medical & Health Care,11318,13,,13
Client server,Customer billing/relationship management Logistic or supply planning & control ,Enhancement,Multi,3GL,M1,Yes,,1,,Government,3482,8,0,8
,,Enhancement,MF,3GL,XS,,,1,,,767,4,,4
Stand alone,,New Development,MF,4GL,,,,2,No,Financial,4941,10,,10
,Financial transaction process/accounting ,New Development,MF,3GL,S,Don't Know,,1,No,Banking,398,1.4,0,1.4
,,Enhancement,MR,ApG,M1,Yes,,1,,Insurance,3631,22,10,22
Client server,"Image, video or sound processing ",New Development,PC,3GL,,Yes,,1,,Communication,15361,19,,19
Stand alone,Management Information System ,New Development,PC,4GL,M2,No,,1,No,Government,4782,,,
Client server,Workflow support & management Management Information System ,New Development,PC,3GL,M2,Yes,,1,,Government,3114,2.8,,2.8
Stand alone,,Enhancement,MF,3GL,M2,Yes,,1,,Insurance,3750,7.6,0.57,7.6
Client server,Complex process control ,New Development,PC,3GL,M1,Yes,,1,,Communication,1084,4,,4
,Financial transaction process/accounting Data Warehouse ,Enhancement,,4GL,XS,Yes,,1,,Financial,173,1.1,0,1.1
,Financial transaction process/accounting ,Enhancement,MF,3GL,M1,,,1,,Banking,4741,15.1,,15.1
Stand alone,Management Information System ,Enhancement,MF,3GL,S,Yes,,1,No,Banking,1084,4,,4
Stand alone,Transaction/Production System ,New Development,MF,3GL,M1,Yes,,1,,Government,2956,10,,10
Client server,,Enhancement,,4GL,M1,,,1,,,1206,3.4,0,3.4
,Financial transaction process/accounting ,Enhancement,Multi,3GL,S,Yes,,1,,,96,1,,1
Client server,Embedded system/real-time application ,Enhancement,Multi,3GL,XS,Yes,,1,,Communication,1022,,,
Client server,,Enhancement,,,XS,,,1,,,214,0.99,0,0.99
Client server,Financial transaction process/accounting Client Server ,Enhancement,Multi,4GL,S,Yes,,1,,Financial,557,3.5,0.7,3.5
Multi-tier,Online. eSales ,Enhancement,Multi,,M1,,,1,,Communication,455,4.4,,4.4
Client server,,Enhancement,Multi,3GL,M1,,,1,,Logistics,1165,1.5,,1.5
Client server,relatively complex application ,Enhancement,Multi,3GL,S,Yes,,1,,Communication,930,,,
Stand alone,Central cmd./ctl of sensors ,New Development,MR,3GL,M2,,,2,,Defence,19428,34,2,34
Client server,Cars selling ,Enhancement,MR,3GL,S,Yes,,,No,Manufacturing,1086,4.1,,4.1
,,New Development,Multi,3GL,M1,Yes,,1,,Insurance,1231,4,,4
,Billing ,Enhancement,,3GL,S,Yes,,1,,Wholesale & Retail,10558,,,
Client server,Team Management ,Enhancement,Multi,4GL,M2,Yes,,3,Yes,Manufacturing,4965,5.5,,5.5
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,2728,18,,18
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,9997,34,,34
,Telecom & network management ,Enhancement,PC,3GL,,Yes,,1,,Communication,2508,3.3,,3.3
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,1174,9,,9
Multi-tier,Stock control & order processing ,Enhancement,Multi,,M1,,,1,,Communication,490,4.4,,4.4
,Knowledge Based ,New Development,,,M1,No,,2,No,Communication,1440,17,,17
,Financial transaction process/accounting ,Enhancement,Multi,4GL,S,Yes,,1,,,556,1.5,,1.5
,Maintenance ,Enhancement,MF,3GL,M1,Yes,,1,,,11584,,,
Stand alone,Management Information System ,Enhancement,,4GL,M1,Yes,,1,,Communication,328,5,,5
Multi-tier,,Enhancement,PC,4GL,M1,Yes,,1,,Government,2175,8,0,8
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,3214,6,,6
,,New Development,Multi,4GL,XXL,,,1,,,55976,17.9,,17.9
,,Enhancement,,,M1,Don't Know,,1,Don't Know,,752,4,0,4
Stand alone,Car Design ,New Development,,4GL,L,Yes,,,No,Manufacturing,2829,11.7,,11.7
Client server,Transaction/Production System ,Enhancement,,3GL,L,Yes,,1,,Communication,37717,6,,6
,,Enhancement,,,M1,Don't Know,,1,Don't Know,,636,6,0,6
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,2702,13,,13
Client server,,Enhancement,,4GL,M1,Yes,,1,,Communication,1600,3,,3
,Financial transaction process/accounting ,New Development,PC,3GL,M2,Don't Know,,1,No,Insurance,8228,13,0,13
Stand alone,Business Customer billing/relationship management ,Enhancement,MF,3GL,M1,Yes,,1,,Communication,4850,2,,2
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,6451,34,,34
,,Enhancement,MF,3GL,M1,Yes,,1,,Insurance,233,4,1,4
,Financial transaction process/accounting ,Enhancement,MF,,S,Yes,,1,,Financial,514,,,
,Financial transaction process/accounting ,New Development,Multi,3GL,M2,Yes,,1,,,900,3.8,,3.8
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,158,7,,7
Stand alone,Financial transaction process/accounting ,Enhancement,MF,3GL,M2,Yes,,1,,Government,3219,21.6,,21.6
Stand alone,,Enhancement,MF,3GL,M2,Yes,,4,,Manufacturing,9309,5,0,5
Stand alone,Complex process control ,Enhancement,PC,,XL,No,,1,Yes,Manufacturing,896,,,
,Financial transaction process/accounting ,Enhancement,MF,3GL,M2,Don't Know,,1,No,Insurance,8514,3,0,3
Multi-tier,GEO Information Management ,Enhancement,Multi,3GL,S,,,1,,Communication,269,4.5,,4.5
Client server,Financial transaction process/accounting Electronic Data Interchange ,Enhancement,MF,3GL,S,Yes,,1,,Government,870,6,0,6
Multi-tier with web interface,relatively complex application ,Enhancement,Multi,4GL,XS,Yes,,1,,Communication,210,,,
Client server,Human Resources ,Enhancement,MR,4GL,S,Yes,,3,Yes,Manufacturing,1487,8.3,,8.3
Stand alone,Salaries Reporting ,New Development,PC,4GL,S,Yes,,3,No,Manufacturing,441,3.5,,3.5
,Transaction/Production System ,Enhancement,,4GL,S,Yes,,1,,Communication,466,12,,12
,Executive Information System ,New Development,,4GL,L,No,,1,,Communication,5320,13,,13
,Transaction/Production System ,New Development,,4GL,M1,Yes,,1,,Communication,345,8,,8
,Transaction/Production System ,Enhancement,,3GL,S,Yes,,1,,Communication,367,5,,5
,Management of Licences and Permits ,Enhancement,MF,ApG,S,Yes,,1,,Government,1137,5,,5
,Transaction/Production System ,Enhancement,,3GL,S,Yes,,1,,Communication,155,7,,7
,not recorded ,Enhancement,,,M1,,,1,,Medical & Health Care,19226,14,,14
,Financial transaction process/accounting ,Enhancement,Multi,3GL,M1,Yes,,1,,,301,3.6,,3.6
Multi-tier,Online analysis and reporting ,Enhancement,Multi,4GL,XXS,,,1,,Manufacturing,185,,,
Stand alone,Transaction/Production System ,Enhancement,MF,3GL,S,Yes,,1,No,,1206,4.2,0,4.2
,,Enhancement,Multi,3GL,M1,Yes,,1,,Insurance,1018,9,,9
Multi-tier,Stock control & order processing ,Enhancement,Multi,3GL,S,,,1,,Communication,76,6.3,,6.3
Stand alone,Financial transaction process/accounting Graphics & publishing tools or system Management or performance reporting Online analysis and reporting Personal productivity (e.g. spreadsheet) ,Enhancement,PC,3GL,XL,Yes,,1,,Government,4266,8,,8
Stand alone,Reconciliation ,New Development,MF,3GL,M1,Yes,,1,Yes,Utilities,440,3,0,3
,Financial transaction process/accounting ,New Development,MR,3GL,M2,Don't Know,,1,No,Professional Services,3845,4,0,4
Multi-tier,Online analysis and reporting ,Enhancement,Multi,3GL,S,,,1,,Communication,252,10.3,,10.3
,,New Development,MF,4GL,S,Yes,,1,,Banking,180,2,1,2
,not recorded ,Enhancement,,,XXS,,,1,,Medical & Health Care,479,8,,8
,Network Switch Provisioning ,Enhancement,,3GL,XS,,,1,,,1548,,,
,,Enhancement,MF,3GL,S,Yes,,1,,Insurance,1142,6.2,0.2,6.2
,,Enhancement,,3GL,M2,Don't Know,,1,Don't Know,,2705,5,0,5
Stand alone,Financial transaction process/accounting ,Enhancement,MF,3GL,XS,Yes,,1,,Government,228,15.1,,15.1
Stand alone,E-Business ,Enhancement,MF,3GL,M1,Yes,,1,,Wholesale & Retail,1371,,,
Multi-tier with web public interface,Catalogue/register of things or events Processing application for public subsidies ,Enhancement,Multi,3GL,M1,Yes,,1,,Government,2009,4,0,4
,Financial transaction process/accounting ,Enhancement,Multi,3GL,S,Yes,,1,,,908,6,,6
Client server,Telecom & network management ,Enhancement,PC,3GL,,Yes,,4,,Communication,18054,5.2,0,5.2
Stand alone,,New Development,MF,3GL,S,,,1,No,Financial,1099,,,
,,New Development,,,M2,Don't Know,,1,Don't Know,,1486,6,0,6
,Financial transaction process/accounting ,Enhancement,Multi,4GL,S,Yes,,1,,,297,1.3,,1.3
Client server,,Enhancement,,4GL,M1,,,1,,,3312,1.3,0,1.3
,not recorded ,Enhancement,,,S,,,1,,Medical & Health Care,10852,26,,26
Multi-tier with web public interface,Auditing Management ,New Development,Proprietary,5GL,M2,Yes,Yes,1,,Banking,1518,3,,3
,Financial transaction process/accounting ,Enhancement,MF,3GL,M1,Don't Know,,1,No,Insurance,515,3,0,3
Client server,Financial transaction process/accounting Management or performance reporting Data Warehouse system ,New Development,MR,4GL,M2,No,Yes,1,,Government,19795,18,,18
Multi-tier with web public interface,Mathematical modelling (finance or eng.) Software development tool ,Re-development,PC,3GL,M2,Yes,Yes,4,,Manufacturing,5408,9,0,9
,Financial transaction process/accounting ,Enhancement,MF,3GL,M2,Don't Know,,1,No,Insurance,10360,3,0,3
Multi-tier with web public interface,Content management system Dynamic website ,New Development,PC,3GL,M1,Yes,Yes,1,,Education,429,3,,3
Stand alone,Transaction/Production System ,Enhancement,MF,4GL,L,,,1,No,Communication,11705,12,,12
,Financial transaction process/accounting ,New Development,MF,3GL,M1,,,1,,Banking,1467,,,
Client server,Document management ,New Development,PC,3GL,,Yes,,1,,,12830,6,,6
,,Enhancement,MF,3GL,XXS,,,1,,,208,2,,2
Client server,Parts documentation ,Enhancement,MR,3GL,M1,Yes,,,No,Manufacturing,3822,10,,10
,Financial transaction process/accounting ,Enhancement,MF,3GL,M1,Don't Know,,1,No,Insurance,3080,3,0,3
Stand alone,Management Information System ,New Development,MR,3GL,S,Yes,,1,No,Financial,520,,,
,Financial transaction process/accounting ,New Development,PC,4GL,L,Don't Know,,1,No,Financial,3857,6,0,6
,Financial transaction process/accounting ,New Development,MF,3GL,M1,Don't Know,,1,No,Banking,4386,3,0,3
Multi-tier / Client server,,New Development,Multi,4GL,L,Don't Know,,1,No,Service Industry,968,4.6,0,4.6
Stand alone,,Enhancement,MF,4GL,M1,,,1,No,Communication,1362,2,,2
Multi-tier / Client server,Financial transaction process/accounting ,Enhancement,Multi,3GL,S,Don't Know,,1,No,Construction,742,2.6,0,2.6
,,New Development,PC,4GL,M2,Yes,,1,,Government,1460,10,1,10
,Financial transaction process/accounting ,Enhancement,MF,3GL,M2,,,1,,Banking,3702,11,,11
Multi-tier / Client server,Financial application area ,Enhancement,Multi,4GL,S,Yes,,1,,,317,1.3,,1.3
,not recorded ,Enhancement,,,XS,,,1,,Medical & Health Care,14138,18,,18
Multi-tier with web public interface,"Calculation, quotation, insurance policy issue ",New Development,PC,4GL,M1,Yes,,3,,Insurance,1498,12,0,12
Client server,,Enhancement,,,XXS,,,1,,,27,0.33,0,0.33
